Pos,Clinical_significance_ENIGMA,mupit_structure,proteinPrior,Clinical_Significance_ClinVar
32316316,-,-,N/A,-
32316331,-,-,N/A,-
32316334,-,-,N/A,-
32316350,-,-,N/A,-
32316351,-,-,N/A,-
32316362,-,-,N/A,-
32316386,-,-,N/A,Likely_benign
32316387,-,-,N/A,-
32316388,-,-,N/A,-
32316395,-,-,N/A,-
32316396,-,-,N/A,Benign
32316396,-,-,N/A,-
32316402,-,-,N/A,Likely_benign
32316406,-,-,N/A,"Likely_benign,Uncertain_significance"
32316406,-,-,-,"Benign,Likely_benign,Uncertain_significance"
32316408,-,-,N/A,Likely_benign
32316409,-,-,N/A,-
32316411,-,-,N/A,-
32316412,-,-,N/A,Likely_benign
32316413,-,-,-,"Likely_benign,Uncertain_significance"
32316413,-,-,-,-
32316415,-,-,N/A,Uncertain_significance
32316418,-,-,N/A,-
32316419,-,-,N/A,-
32316419,-,-,-,Likely_pathogenic
32316420,-,-,N/A,"Pathogenic,Likely_pathogenic,Uncertain_significance"
32316421,-,-,N/A,Pathogenic
32316423,-,-,-,-
32316425,-,-,N/A,-
32316427,-,-,N/A,Uncertain_significance
32316428,-,-,N/A,not_provided
32316431,-,-,N/A,-
32316433,-,-,N/A,-
32316434,-,-,N/A,-
32316435,Benign,-,N/A,Benign
32316435,-,-,N/A,Benign
32316435,-,-,N/A,Benign
32316435,-,-,-,Likely_benign
32316436,-,-,N/A,-
32316437,-,-,N/A,Likely_benign
32316438,-,-,N/A,Likely_benign
32316443,-,-,N/A,-
32316446,-,-,N/A,"Benign,Likely_benign,Uncertain_significance"
32316446,-,-,N/A,Uncertain_significance
32316447,-,-,N/A,"Likely_benign,Uncertain_significance"
32316447,-,-,N/A,-
32316448,-,-,N/A,-
32316449,-,-,N/A,Uncertain_significance
32316449,-,-,N/A,Uncertain_significance
32316450,Benign,-,N/A,"Benign,Uncertain_significance,Likely_benign"
32316451,-,-,N/A,Likely_benign
32316452,-,-,N/A,"Uncertain_significance,Likely_benign"
32316453,-,-,-,Pathogenic
32316457,-,-,N/A,-
32316458,-,-,N/A,Uncertain_significance
32316460,-,-,-,Uncertain_significance
32316461,-,-,-,Pathogenic
32316462,-,-,-,Pathogenic
32316462,-,-,-,Pathogenic
32316462,-,-,-,Pathogenic
32316462,-,-,-,Pathogenic
32316463,-,-,-,"Pathogenic,not_provided"
32316463,-,-,-,"Pathogenic,Likely_pathogenic"
32316463,Pathogenic,-,-,Pathogenic
32316465,-,-,0.02,Uncertain_significance
32316466,-,-,0.02,Likely_benign
32316466,-,-,-,Pathogenic
32316467,-,-,0.02,Uncertain_significance
32316468,-,-,0.02,Uncertain_significance
32316469,-,-,0.02,-
32316470,Pathogenic,-,0.99,Pathogenic
32316471,-,-,0.02,"Uncertain_significance,Likely_benign"
32316471,-,-,0.02,Uncertain_significance
32316473,-,-,0.02,-
32316473,Pathogenic,-,-,Pathogenic
32316475,Pathogenic,-,-,"Pathogenic,Likely_pathogenic"
32316476,-,-,0.02,Uncertain_significance
32316477,Pathogenic,-,-,Pathogenic
32316477,-,-,-,Pathogenic
32316484,-,-,0.02,Likely_benign
32316484,Pathogenic,-,-,Pathogenic
32316486,-,-,0.02,Uncertain_significance
32316486,-,-,0.02,Uncertain_significance
32316487,Likely benign,-,0.02,Likely_benign
32316488,-,-,0.03,Uncertain_significance
32316489,-,-,0.03,Uncertain_significance
32316489,-,-,0.03,Uncertain_significance
32316490,Pathogenic,-,-,Pathogenic
32316490,Likely benign,-,0.02,Likely_benign
32316490,Pathogenic,-,-,Pathogenic
32316492,-,-,-,Pathogenic
32316492,Pathogenic,-,-,Pathogenic
32316493,-,-,0.03,Uncertain_significance
32316494,-,-,0.03,Uncertain_significance
32316495,-,-,0.03,Uncertain_significance
32316497,-,-,0.03,Uncertain_significance
32316497,Pathogenic,-,-,Pathogenic
32316497,Pathogenic,-,0.99,Pathogenic
32316499,-,-,0.03,Uncertain_significance
32316500,-,-,0.03,Uncertain_significance
32316502,-,-,-,Uncertain_significance
32316503,-,-,0.29,Uncertain_significance
32316507,Pathogenic,-,-,Pathogenic
32316507,-,-,0.03,Uncertain_significance
32316508,Pathogenic,-,-,Pathogenic
32316508,Pathogenic,-,-,Pathogenic
32316508,Pathogenic,-,-,Pathogenic
32316510,Pathogenic,-,-,Pathogenic
32316510,-,-,0.03,variant_of_unknown_significance
32316512,-,-,0.29,Uncertain_significance
32316513,Benign,-,0.03,"Benign,Likely_benign,Uncertain_significance"
32316514,-,-,0.02,-
32316516,-,-,0.03,Uncertain_significance
32316517,Likely benign,-,0.02,Likely_benign
32316519,-,-,0.03,Uncertain_significance
32316520,-,-,0.02,Likely_benign
32316520,Pathogenic,-,-,Pathogenic
32316522,-,-,0.03,Uncertain_significance
32316523,-,-,0.02,"Uncertain_significance,Likely_benign"
32316525,-,-,0.03,-
32316526,-,-,0.02,-
32316526,-,-,0.02,Uncertain_significance
32316526,-,-,-,Pathogenic
32316527,-,-,0.03,"Likely_pathogenic,Uncertain_significance"
32316527,-,-,0.29,Pathogenic
32316528,-,-,N/A,Pathogenic
32316528,-,-,N/A,"Pathogenic,Likely_pathogenic"
32316528,-,-,N/A,Pathogenic
32316528,-,-,-,Likely_pathogenic
32316529,-,-,N/A,Pathogenic
32316529,-,-,N/A,Pathogenic
32316529,-,-,N/A,Pathogenic
32316531,-,-,N/A,"Benign,Uncertain_significance,Likely_benign"
32316532,-,-,N/A,Benign
32316535,-,-,N/A,Likely_benign
32316535,-,-,N/A,Likely_benign
32316540,-,-,N/A,Likely_benign
32316543,-,-,N/A,"Benign,Likely_benign"
32316543,-,-,N/A,"Uncertain_significance,Likely_benign"
32316544,-,-,N/A,"Benign,Likely_benign"
32316545,-,-,N/A,"Uncertain_significance,Likely_benign"
32316546,-,-,N/A,"Benign,Likely_benign"
32316547,-,-,N/A,Likely_benign
32316549,-,-,N/A,-
32316559,-,-,N/A,-
32316561,-,-,N/A,-
32316564,-,-,N/A,-
32316567,-,-,N/A,Likely_benign
32316585,Benign,-,N/A,Benign
32316589,-,-,N/A,"Benign,Likely_benign,Uncertain_significance"
32316609,-,-,N/A,"Benign,Uncertain_significance"
32316612,-,-,N/A,-
32316676,-,-,N/A,-
32316737,-,-,N/A,-
32316794,-,-,N/A,-
32316848,-,-,N/A,-
32316853,-,-,N/A,-
32316853,Benign,-,N/A,Benign
32316859,-,-,N/A,-
32316860,-,-,N/A,-
32316938,-,-,N/A,-
32317042,-,-,N/A,-
32317088,-,-,N/A,-
32317110,-,-,N/A,-
32317113,-,-,N/A,-
32317130,-,-,N/A,-
32317168,Benign,-,N/A,Benign
32317191,-,-,N/A,-
32317215,-,-,N/A,-
32317246,Benign,-,N/A,Benign
32317275,-,-,N/A,-
32317314,Benign,-,-,Benign
32317354,-,-,N/A,-
32317357,-,-,N/A,-
32317364,-,-,N/A,-
32317393,-,-,N/A,-
32317399,-,-,N/A,-
32317411,-,-,N/A,-
32317446,-,-,N/A,-
32317498,-,-,N/A,-
32317569,Benign,-,N/A,Benign
32317575,-,-,N/A,-
32317621,-,-,N/A,-
32317629,Benign,-,N/A,Benign
32317638,-,-,N/A,-
32317661,Benign,-,N/A,Benign
32317677,-,-,-,Pathogenic
32317714,-,-,N/A,-
32317747,Benign,-,-,Benign
32317793,Benign,-,N/A,Benign
32317915,-,-,N/A,-
32317968,-,-,N/A,-
32317991,-,-,N/A,-
32318074,-,-,-,-
32318080,Benign,-,N/A,Benign
32318103,Benign,-,-,Benign
32318220,-,-,N/A,-
32318245,-,-,N/A,-
32318253,-,-,N/A,-
32318332,-,-,N/A,-
32318351,-,-,N/A,-
32318419,-,-,N/A,-
32318450,-,-,N/A,-
32318502,-,-,N/A,-
32318530,-,-,N/A,-
32318532,Benign,-,N/A,Benign
32318535,-,-,N/A,-
32318557,Benign,-,N/A,Benign
32318587,-,-,N/A,-
32318598,Benign,-,N/A,Benign
32318605,-,-,N/A,-
32318623,Benign,-,N/A,Benign
32318643,-,-,N/A,-
32318656,-,-,N/A,-
32318683,Benign,-,N/A,Benign
32318734,-,-,N/A,-
32318738,Benign,-,N/A,Benign
32318748,Benign,-,N/A,Benign
32318907,-,-,N/A,-
32318914,-,-,N/A,-
32318924,-,-,N/A,-
32318955,-,-,N/A,-
32318968,-,-,N/A,-
32319028,-,-,N/A,-
32319046,-,-,N/A,-
32319055,-,-,N/A,-
32319057,-,-,N/A,Likely_benign
32319057,-,-,N/A,Likely_benign
32319057,-,-,N/A,Likely_benign
32319059,-,-,N/A,-
32319059,-,-,-,Likely_benign
32319060,-,-,-,Benign
32319060,-,-,N/A,Likely_benign
32319060,-,-,-,"Benign,Uncertain_significance"
32319061,-,-,N/A,Likely_benign
32319068,-,-,N/A,not_provided
32319069,-,-,-,Uncertain_significance
32319070,Benign,-,N/A,"Benign,Likely_benign,Uncertain_significance"
32319071,-,-,N/A,"Likely_benign,Uncertain_significance"
32319072,-,-,N/A,Uncertain_significance
32319073,-,-,-,"Pathogenic,Likely_pathogenic"
32319074,-,-,N/A,Uncertain_significance
32319075,-,-,N/A,Likely_pathogenic
32319076,-,-,N/A,Likely_pathogenic
32319076,-,-,N/A,"Pathogenic,Likely_pathogenic,Uncertain_significance"
32319077,-,-,0.03,-
32319077,-,-,0.29,Uncertain_significance
32319077,Pathogenic,-,-,Pathogenic
32319077,Pathogenic,-,-,Pathogenic
32319078,-,-,0.02,Likely_benign
32319080,Pathogenic,-,0.99,"Pathogenic,not_provided"
32319080,Pathogenic,-,0.99,Pathogenic
32319081,-,-,0.29,not_provided
32319082,-,-,0.81,Uncertain_significance
32319082,Pathogenic,-,0.99,Pathogenic
32319086,-,-,0.03,Uncertain_significance
32319086,-,-,-,Uncertain_significance
32319087,Likely benign,-,0.02,Likely_benign
32319088,-,-,0.03,Uncertain_significance
32319089,-,-,-,Likely_pathogenic
32319090,-,-,0.03,Uncertain_significance
32319090,Pathogenic,-,-,"Pathogenic,Likely_pathogenic"
32319091,-,-,0.03,Uncertain_significance
32319092,-,-,0.03,Uncertain_significance
32319094,-,-,0.03,Uncertain_significance
32319094,Pathogenic,-,-,Pathogenic
32319095,-,-,0.03,Uncertain_significance
32319097,-,-,0.29,Uncertain_significance
32319097,-,-,0.03,Uncertain_significance
32319098,-,-,-,Pathogenic
32319098,-,-,-,Uncertain_significance
32319099,Likely benign,-,0.02,"Uncertain_significance,Likely_benign"
32319100,-,-,0.81,-
32319100,-,-,0.81,Uncertain_significance
32319100,-,-,0.81,Uncertain_significance
32319101,Pathogenic,-,0.99,Pathogenic
32319101,-,-,0.66,Uncertain_significance
32319102,Pathogenic,-,0.99,Pathogenic
32319102,-,-,0.81,Uncertain_significance
32319102,-,-,0.81,"Likely_pathogenic,Uncertain_significance"
32319103,-,-,0.29,Uncertain_significance
32319105,-,-,0.29,Uncertain_significance
32319106,Pathogenic,-,0.99,Pathogenic
32319109,Pathogenic,-,0.99,Pathogenic
32319111,Pathogenic,-,-,Pathogenic
32319111,Likely benign,-,0.02,Likely_benign
32319111,Pathogenic,-,-,Pathogenic
32319111,Pathogenic,-,-,Pathogenic
32319112,Pathogenic,-,-,Pathogenic
32319116,-,-,0.03,Uncertain_significance
32319116,-,-,0.03,Uncertain_significance
32319117,Pathogenic,-,-,Pathogenic
32319118,-,-,0.03,Uncertain_significance
32319119,Pathogenic,-,0.99,Pathogenic
32319119,Pathogenic,-,0.99,Pathogenic
32319121,-,-,0.03,Uncertain_significance
32319123,-,-,0.02,Likely_benign
32319123,Pathogenic,-,-,Pathogenic
32319125,-,-,0.03,Uncertain_significance
32319126,Pathogenic,-,-,Pathogenic
32319128,-,-,0.03,-
32319130,-,-,0.02,Uncertain_significance
32319130,-,-,0.02,Uncertain_significance
32319131,Pathogenic,-,-,Pathogenic
32319131,-,-,0.02,"Benign,Likely_benign,Uncertain_significance"
32319132,Likely benign,-,0.02,Likely_benign
32319132,-,-,0.02,Likely_benign
32319132,-,-,-,-
32319134,Benign,-,0.02,"variant_of_unknown_significance,Benign,Likely_benign,not_provided"
32319135,Pathogenic,-,0.99,Pathogenic
32319135,Pathogenic,-,-,Pathogenic
32319135,Pathogenic,-,-,Pathogenic
32319142,Pathogenic,-,0.99,"Pathogenic,not_provided"
32319145,-,-,0.02,"Uncertain_significance,Likely_benign"
32319146,-,-,0.02,Uncertain_significance
32319150,-,-,0.02,Likely_benign
32319151,-,-,0.02,Uncertain_significance
32319151,Pathogenic,-,-,Pathogenic
32319154,Pathogenic,-,0.99,Pathogenic
32319155,-,-,0.02,Uncertain_significance
32319156,-,-,0.02,-
32319159,Pathogenic,-,-,Pathogenic
32319160,-,-,0.02,Uncertain_significance
32319161,-,-,0.02,-
32319164,-,-,0.02,Uncertain_significance
32319165,-,-,-,Pathogenic
32319165,Pathogenic,-,-,Pathogenic
32319165,Pathogenic,-,-,Pathogenic
32319167,-,-,0.02,not_provided
32319168,-,-,0.02,Likely_benign
32319168,-,-,-,"Benign,Likely_benign,Uncertain_significance"
32319170,-,-,0.02,Uncertain_significance
32319170,Pathogenic,-,-,Pathogenic
32319172,-,-,0.02,Uncertain_significance
32319173,-,-,0.02,Uncertain_significance
32319174,Likely benign,-,0.02,Likely_benign
32319176,Benign,-,0.02,"Benign,Likely_benign,Uncertain_significance"
32319178,Pathogenic,-,-,Pathogenic
32319179,Pathogenic,-,-,Pathogenic
32319180,Pathogenic,-,0.99,Pathogenic
32319180,Pathogenic,-,0.99,Pathogenic
32319180,Likely benign,-,0.02,"Likely_benign,Uncertain_significance"
32319181,-,-,0.02,Uncertain_significance
32319181,Pathogenic,-,0.99,"Pathogenic,not_provided"
32319183,-,-,0.02,Likely_benign
32319183,Pathogenic,-,-,Pathogenic
32319184,-,-,0.02,Uncertain_significance
32319184,-,-,0.02,"Benign,Uncertain_significance,Likely_benign,not_provided"
32319185,-,-,0.02,Uncertain_significance
32319188,-,-,0.02,"Benign,Uncertain_significance,Likely_benign"
32319189,Likely benign,-,0.02,Likely_benign
32319190,-,-,0.02,Uncertain_significance
32319191,-,-,0.02,Likely_benign
32319192,Likely benign,-,0.02,"Uncertain_significance,Likely_benign"
32319192,Pathogenic,-,-,Pathogenic
32319198,-,-,0.02,Uncertain_significance
32319199,-,-,0.02,Uncertain_significance
32319200,-,-,0.02,Uncertain_significance
32319202,-,-,0.02,not_provided
32319204,-,-,0.02,Likely_benign
32319204,Likely benign,-,0.02,Likely_benign
32319205,Pathogenic,-,0.99,Pathogenic
32319207,Benign,-,0.02,"Benign,Likely_benign"
32319208,-,-,0.02,Uncertain_significance
32319209,-,-,0.02,Uncertain_significance
32319209,-,-,-,-
32319209,Pathogenic,-,-,Pathogenic
32319210,-,-,0.02,Likely_benign
32319210,Pathogenic,-,-,Pathogenic
32319210,Pathogenic,-,-,Pathogenic
32319210,Pathogenic,-,-,Pathogenic
32319213,-,-,0.02,Likely_benign
32319214,-,-,0.02,Uncertain_significance
32319218,-,-,0.02,-
32319219,Likely benign,-,0.02,Likely_benign
32319220,Pathogenic,-,-,Pathogenic
32319222,-,-,0.02,Likely_benign
32319223,-,-,0.02,Uncertain_significance
32319224,-,-,0.02,Uncertain_significance
32319224,-,-,0.02,Uncertain_significance
32319224,Pathogenic,-,-,Pathogenic
32319225,-,-,-,Pathogenic
32319226,Pathogenic,-,0.99,Pathogenic
32319227,-,-,-,-
32319228,-,-,0.02,Likely_benign
32319229,Pathogenic,-,-,Pathogenic
32319231,Likely benign,-,0.02,Likely_benign
32319231,Likely benign,-,0.02,Likely_benign
32319232,Benign,-,0.02,"Benign,not_provided,Likely_benign,Uncertain_significance"
32319232,Pathogenic,-,-,Pathogenic
32319233,Pathogenic,-,-,Pathogenic
32319235,-,-,0.02,not_provided
32319236,Pathogenic,-,0.99,Pathogenic
32319237,-,-,0.02,-
32319238,-,-,0.02,"Likely_pathogenic,Uncertain_significance"
32319239,-,-,0.02,Uncertain_significance
32319240,Benign,-,0.02,"Benign,Likely_benign"
32319241,-,-,0.02,"Uncertain_significance,Likely_benign"
32319244,-,-,0.02,"Likely_benign,Uncertain_significance"
32319247,-,-,0.02,Uncertain_significance
32319247,-,-,0.02,Uncertain_significance
32319248,-,-,0.02,Uncertain_significance
32319249,-,-,0.02,Uncertain_significance
32319249,-,-,0.02,Likely_benign
32319250,-,-,0.02,"Benign,Uncertain_significance,Likely_benign"
32319250,-,-,0.02,not_provided
32319250,-,-,0.02,Uncertain_significance
32319252,Pathogenic,-,-,"Pathogenic,not_provided"
32319252,Likely benign,-,0.02,Likely_benign
32319252,Pathogenic,-,-,Pathogenic
32319253,-,-,0.02,-
32319253,Pathogenic,-,0.99,Pathogenic
32319254,Pathogenic,-,-,Pathogenic
32319256,-,-,0.02,Uncertain_significance
32319256,Pathogenic,-,0.99,Pathogenic
32319257,-,-,0.02,Uncertain_significance
32319258,-,-,0.02,Uncertain_significance
32319258,Pathogenic,-,-,Pathogenic
32319259,-,-,0.02,Uncertain_significance
32319259,Pathogenic,-,0.99,"Pathogenic,not_provided"
32319262,-,-,0.02,-
32319265,-,-,0.02,Likely_benign
32319266,-,-,0.02,"Uncertain_significance,not_provided"
32319268,Pathogenic,-,-,Pathogenic
32319271,Pathogenic,-,-,Pathogenic
32319272,-,-,0.02,Uncertain_significance
32319273,Pathogenic,-,-,Pathogenic
32319274,Pathogenic,-,-,Pathogenic
32319275,-,-,0.02,Uncertain_significance
32319275,-,-,0.02,Uncertain_significance
32319276,Likely benign,-,0.02,"Benign,Uncertain_significance,Likely_benign"
32319276,Likely benign,-,0.02,Likely_benign
32319278,-,-,0.02,Uncertain_significance
32319278,-,-,-,Pathogenic
32319279,Pathogenic,-,-,Pathogenic
32319281,-,-,0.02,Uncertain_significance
32319281,-,-,-,Pathogenic
32319282,Pathogenic,-,0.99,Pathogenic
32319282,Pathogenic,-,0.99,Pathogenic
32319282,Likely benign,-,0.02,"Uncertain_significance,Likely_benign"
32319283,Pathogenic,-,-,Pathogenic
32319283,Pathogenic,-,0.99,Pathogenic
32319284,Pathogenic,-,-,Pathogenic
32319285,Likely benign,-,0.02,Likely_benign
32319285,-,-,-,-
32319286,-,-,0.02,Uncertain_significance
32319286,-,-,0.02,Uncertain_significance
32319288,-,-,0.02,Uncertain_significance
32319288,-,-,-,-
32319289,-,-,0.02,-
32319289,-,-,0.02,"Benign,Uncertain_significance,Likely_benign"
32319290,-,-,0.02,-
32319292,-,-,0.02,Uncertain_significance
32319294,-,-,0.02,Likely_benign
32319296,-,-,-,Uncertain_significance
32319297,Likely benign,-,0.02,Likely_benign
32319298,Pathogenic,-,0.99,Pathogenic
32319300,-,-,0.02,Uncertain_significance
32319301,-,-,0.02,Uncertain_significance
32319301,-,-,0.02,Uncertain_significance
32319302,Pathogenic,-,0.99,Pathogenic
32319303,-,-,0.02,Uncertain_significance
32319305,-,-,0.02,Uncertain_significance
32319307,-,-,0.02,Uncertain_significance
32319307,Pathogenic,-,0.99,Pathogenic
32319309,-,-,0.02,Likely_benign
32319312,-,-,0.02,Uncertain_significance
32319312,Pathogenic,-,-,Pathogenic
32319312,Likely benign,-,0.02,Likely_benign
32319314,-,-,0.02,Uncertain_significance
32319315,-,-,-,Pathogenic
32319315,-,-,0.02,Likely_benign
32319321,-,-,0.02,Likely_benign
32319323,Pathogenic,-,0.99,Pathogenic
32319325,-,-,0.02,Uncertain_significance
32319326,-,-,N/A,Pathogenic
32319326,-,-,N/A,Pathogenic
32319326,-,-,N/A,"Pathogenic,Likely_pathogenic"
32319327,-,-,N/A,Pathogenic
32319327,-,-,N/A,Pathogenic
32319327,-,-,-,not_provided
32319328,-,-,N/A,Uncertain_significance
32319330,-,-,N/A,"Pathogenic,Likely_pathogenic,Uncertain_significance"
32319330,-,-,N/A,"Pathogenic,Likely_pathogenic,not_provided"
32319331,-,-,N/A,Uncertain_significance
32319332,-,-,N/A,Likely_benign
32319335,-,-,N/A,Likely_benign
32319337,-,-,N/A,"Benign,Likely_benign"
32319338,-,-,N/A,"Benign,Likely_benign,Uncertain_significance"
32319341,-,-,N/A,Likely_benign
32319343,-,-,N/A,Likely_benign
32319350,-,-,N/A,-
32319351,-,-,N/A,-
32319354,-,-,N/A,-
32319355,-,-,N/A,-
32319374,-,-,N/A,-
32319382,-,-,-,-
32319385,-,-,N/A,-
32319433,Benign,-,N/A,"Benign,Likely_benign"
32319473,-,-,N/A,-
32319500,-,-,N/A,-
32319508,-,-,N/A,-
32319536,-,-,N/A,-
32319567,-,-,N/A,-
32319587,Benign,-,N/A,Benign
32319611,-,-,N/A,-
32319631,Benign,-,-,Benign
32319654,Benign,-,N/A,Benign
32319655,-,-,N/A,-
32319686,Benign,-,N/A,Benign
32319693,-,-,N/A,-
32319725,-,-,N/A,-
32319771,Benign,-,N/A,Benign
32319814,-,-,N/A,-
32319889,-,-,N/A,-
32320008,-,-,N/A,-
32320015,-,-,N/A,-
32320022,-,-,N/A,-
32320092,-,-,N/A,-
32320129,-,-,N/A,-
32320148,-,-,N/A,-
32320172,-,-,N/A,-
32320185,Benign,-,N/A,Benign
32320188,Benign,-,N/A,Benign
32320222,-,-,N/A,-
32320223,-,-,N/A,-
32320271,-,-,N/A,-
32320306,-,-,N/A,-
32320347,Benign,-,N/A,Benign
32320378,-,-,N/A,-
32320513,-,-,N/A,-
32320545,-,-,N/A,-
32320601,Benign,-,N/A,Benign
32320625,-,-,N/A,-
32320668,Benign,-,N/A,Benign
32320678,-,-,N/A,-
32320712,-,-,N/A,-
32320728,Benign,-,N/A,Benign
32320753,-,-,N/A,-
32320776,-,-,N/A,-
32320782,-,-,N/A,-
32320807,Benign,-,N/A,Benign
32320840,Benign,-,N/A,Benign
32320976,-,-,N/A,-
32321021,-,-,N/A,-
32321109,-,-,N/A,-
32321173,-,-,N/A,-
32321189,-,-,N/A,-
32321218,-,-,N/A,-
32321228,-,-,N/A,-
32321240,Benign,-,N/A,Benign
32321244,Benign,-,N/A,Benign
32321283,-,-,N/A,-
32321320,-,-,N/A,-
32321334,Benign,-,N/A,Benign
32321432,-,-,N/A,-
32321455,-,-,N/A,-
32321521,-,-,N/A,-
32321537,Benign,-,N/A,Benign
32321612,Benign,-,N/A,Benign
32321623,-,-,N/A,-
32321662,-,-,N/A,-
32321693,-,-,N/A,-
32321756,-,-,N/A,-
32321757,-,-,N/A,-
32321778,-,-,N/A,-
32321921,-,-,N/A,-
32321936,Benign,-,N/A,Benign
32321956,-,-,N/A,-
32322026,-,-,N/A,-
32322052,-,-,-,-
32322074,-,-,N/A,-
32322152,Benign,-,N/A,Benign
32322223,-,-,N/A,-
32322261,-,-,N/A,-
32322353,-,-,N/A,-
32322390,-,-,N/A,-
32322477,-,-,N/A,-
32322538,-,-,N/A,-
32322539,Benign,-,N/A,Benign
32322585,Benign,-,N/A,Benign
32322589,-,-,N/A,-
32322620,-,-,N/A,-
32322642,-,-,N/A,-
32322697,-,-,N/A,-
32322705,-,-,N/A,-
32322709,Benign,-,N/A,Benign
32322713,-,-,N/A,-
32322731,-,-,N/A,-
32322750,-,-,N/A,-
32322826,-,-,N/A,-
32322891,-,-,N/A,-
32322909,-,-,N/A,-
32322960,-,-,N/A,-
32323006,Benign,-,N/A,Benign
32323063,-,-,N/A,-
32323151,Benign,-,-,Benign
32323155,-,-,N/A,-
32323183,-,-,N/A,-
32323188,-,-,N/A,-
32323191,-,-,N/A,-
32323201,Benign,-,N/A,Benign
32323238,-,-,N/A,-
32323269,-,-,N/A,-
32323293,-,-,N/A,-
32323301,Benign,-,N/A,Benign
32323302,-,-,N/A,-
32323325,-,-,N/A,-
32323343,-,-,N/A,-
32323367,-,-,N/A,-
32323396,Benign,-,N/A,Benign
32323405,Benign,-,N/A,Benign
32323448,-,-,N/A,-
32323474,-,-,N/A,-
32323558,-,-,N/A,-
32323559,-,-,N/A,-
32323592,-,-,N/A,-
32323709,-,-,N/A,-
32323773,-,-,N/A,-
32323775,-,-,N/A,-
32323778,-,-,N/A,-
32323802,-,-,N/A,-
32323838,-,-,N/A,-
32323861,Benign,-,N/A,Benign
32323883,-,-,N/A,-
32323908,-,-,N/A,-
32323915,-,-,N/A,-
32323929,-,-,N/A,-
32323935,-,-,N/A,-
32323996,-,-,N/A,-
32324055,-,-,N/A,-
32324066,-,-,N/A,-
32324101,Benign,-,N/A,Benign
32324124,-,-,N/A,-
32324175,-,-,N/A,-
32324252,-,-,N/A,-
32324255,-,-,N/A,-
32324311,-,-,N/A,-
32324328,-,-,N/A,-
32324406,-,-,N/A,-
32324497,Benign,-,N/A,Benign
32324515,-,-,N/A,-
32324611,-,-,N/A,-
32324686,-,-,N/A,-
32324693,Benign,-,N/A,Benign
32324702,-,-,N/A,-
32324727,Benign,-,N/A,Benign
32324779,-,-,N/A,-
32324795,-,-,N/A,-
32324887,-,-,N/A,-
32324938,-,-,-,Likely_benign
32324978,-,-,N/A,-
32325022,-,-,N/A,Uncertain_significance
32325024,-,-,N/A,-
32325029,-,-,N/A,-
32325039,-,-,N/A,-
32325041,-,-,N/A,-
